item	cond	wp	listType	rt	response	target	distracter	corrkey	list	correct	rep	POS	word	lemma	nchar	countForm	countLemma	open	cwo	owo	scode	age	gen	read
2	AAT	1		885	l	PICCOLA	UFBCULE	L	listA1	TRUE	3	ADJ	piccola	piccolo	7	146133	646364	1	NA	1	2NT	59	Maschio	Si
2	AAT	2		678	a	PARLA	UUDZQ	A	listA1	TRUE	3	VER:fin	parla	parlare	5	188793	909141	1	NA	2	2NT	59	Maschio	Si
2	AAT	3		673	l	GIÀ.	MUV.	L	listA1	TRUE	3	ADV	già	già	3	1194062	1345572	0	2	NA	2NT	59	Maschio	Si
3	AAT	0		1629	a	SIAMO	IEDAV	A	listA1	TRUE	1	AUX:fin	Siamo	essere	5	107959	39239663	0	1	NA	2NT	59	Maschio	Si
3	AAT	1		739	l	STATI	ZUTER	L	listA1	TRUE	1	AUX:ppast	stati	essere	5	641601	39239663	0	2	NA	2NT	59	Maschio	Si
3	AAT	2		723	a	INVITATI	ABOOHIFR	A	listA1	TRUE	1	VER:ppast	invitati	invitare	8	27527	183731	1	NA	1	2NT	59	Maschio	Si
3	AAT	3		683	l	DA	EZ	L	listA1	TRUE	1	PRE	da	da	2	9235795	9726496	0	3	NA	2NT	59	Maschio	Si
3	AAT	4		838	l	LUI.	OAC.	L	listA1	TRUE	1	PRO:pers	lui	lui	3	591334	660247	0	4	NA	2NT	59	Maschio	Si
3	AAT	0		1113	a	SIAMO	RZUEI	A	listA1	TRUE	2	AUX:fin	Siamo	essere	5	107959	39239663	0	1	NA	2NT	59	Maschio	Si
3	AAT	1		539	a	STATI	ILIBP	A	listA1	TRUE	2	AUX:ppast	stati	essere	5	641601	39239663	0	2	NA	2NT	59	Maschio	Si
3	AAT	2		674	l	INVITATI	ZLEUZAAS	L	listA1	TRUE	2	VER:ppast	invitati	invitare	8	27527	183731	1	NA	1	2NT	59	Maschio	Si
3	AAT	3		600	l	DA	BE	L	listA1	TRUE	2	PRE	da	da	2	9235795	9726496	0	3	NA	2NT	59	Maschio	Si
3	AAT	4		531	a	LUI.	OIV.	A	listA1	TRUE	2	PRO:pers	lui	lui	3	591334	660247	0	4	NA	2NT	59	Maschio	Si
3	AAT	0		1203	l	SIAMO	AOETC	L	listA1	TRUE	3	AUX:fin	Siamo	essere	5	107959	39239663	0	1	NA	2NT	59	Maschio	Si
3	AAT	1		677	l	STATI	QECIG	L	listA1	TRUE	3	AUX:ppast	stati	essere	5	641601	39239663	0	2	NA	2NT	59	Maschio	Si
3	AAT	2		630	a	INVITATI	ZIHCEVEE	A	listA1	TRUE	3	VER:ppast	invitati	invitare	8	27527	183731	1	NA	1	2NT	59	Maschio	Si
3	AAT	3		570	l	DA	OG	L	listA1	TRUE	3	PRE	da	da	2	9235795	9726496	0	3	NA	2NT	59	Maschio	Si
3	AAT	4		559	a	LUI.	UAH.	A	listA1	TRUE	3	PRO:pers	lui	lui	3	591334	660247	0	4	NA	2NT	59	Maschio	Si
4	AAT	0		1618	l	IO	OA	A	listA1	FALSE	1	PRO:pers	Io	io	2	332176	1251088	0	1	NA	2NT	59	Maschio	Si
4	AAT	1		2322	l	NON	OTM	L	listA1	TRUE	1	NEG	non	non	3	12571317	14169963	0	2	NA	2NT	59	Maschio	Si
4	AAT	2		806	l	TI	UC	L	listA1	TRUE	1	CLI	ti	ti	2	663082	794114	0	3	NA	2NT	59	Maschio	Si
4	AAT	3		1092	a	PRESTO	OISMQR	A	listA1	TRUE	1	VER:fin	presto	prestare	6	158653	130373	1	NA	1	2NT	59	Maschio	Si
4	AAT	4		947	l	PIÙ	TFA	L	listA1	TRUE	1	ADV	più	più	3	5212094	5755909	0	4	NA	2NT	59	Maschio	Si
4	AAT	5		658	l	LA	OS	L	listA1	TRUE	1	ART	la	la	2	25477273	42872777	0	5	NA	2NT	59	Maschio	Si
4	AAT	6		605	a	MOTO.	UMLI.	A	listA1	TRUE	1	NOUN	moto	moto	4	80496	94129	1	NA	2	2NT	59	Maschio	Si
4	AAT	0		1705	l	IO	AO	L	listA1	TRUE	2	PRO:pers	Io	io	2	332176	1251088	0	1	NA	2NT	59	Maschio	Si
4	AAT	1		502	a	NON	ETV	A	listA1	TRUE	2	NEG	non	non	3	12571317	14169963	0	2	NA	2NT	59	Maschio	Si
4	AAT	2		758	l	TI	RI	L	listA1	TRUE	2	CLI	ti	ti	2	663082	794114	0	3	NA	2NT	59	Maschio	Si
4	AAT	3		784	l	PRESTO	SNNIUF	L	listA1	TRUE	2	VER:fin	presto	prestare	6	158653	130373	1	NA	1	2NT	59	Maschio	Si
4	AAT	4		558	a	PIÙ	QER	A	listA1	TRUE	2	ADV	più	più	3	5212094	5755909	0	4	NA	2NT	59	Maschio	Si
4	AAT	5		534	l	LA	OZ	L	listA1	TRUE	2	ART	la	la	2	25477273	42872777	0	5	NA	2NT	59	Maschio	Si
4	AAT	6		555	l	MOTO.	ACAC.	L	listA1	TRUE	2	NOUN	moto	moto	4	80496	94129	1	NA	2	2NT	59	Maschio	Si
4	AAT	0		1173	a	IO	EA	A	listA1	TRUE	3	PRO:pers	Io	io	2	332176	1251088	0	1	NA	2NT	59	Maschio	Si
4	AAT	1		523	l	NON	RBA	L	listA1	TRUE	3	NEG	non	non	3	12571317	14169963	0	2	NA	2NT	59	Maschio	Si
4	AAT	2		833	a	TI	OL	A	listA1	TRUE	3	CLI	ti	ti	2	663082	794114	0	3	NA	2NT	59	Maschio	Si
4	AAT	3		517	l	PRESTO	ECLFQA	L	listA1	TRUE	3	VER:fin	presto	prestare	6	158653	130373	1	NA	1	2NT	59	Maschio	Si
4	AAT	4		770	l	PIÙ	UBV	L	listA1	TRUE	3	ADV	più	più	3	5212094	5755909	0	4	NA	2NT	59	Maschio	Si
4	AAT	5		1153	a	LA	NA	A	listA1	TRUE	3	ART	la	la	2	25477273	42872777	0	5	NA	2NT	59	Maschio	Si
4	AAT	6		540	l	MOTO.	LGIO.	L	listA1	TRUE	3	NOUN	moto	moto	4	80496	94129	1	NA	2	2NT	59	Maschio	Si
5	AAT	0		1670	a	CARLO	USABS	A	listA1	TRUE	1	NPR	Carlo	Carlo	5	147209	156483	1	NA	1	2NT	59	Maschio	Si
5	AAT	1		818	a	NON	QAG	A	listA1	TRUE	1	NEG	non	non	3	12571317	14169963	0	1	NA	2NT	59	Maschio	Si
5	AAT	2		694	l	SI	MO	L	listA1	TRUE	1	CLI	si	si	2	10181611	11340591	0	2	NA	2NT	59	Maschio	Si
5	AAT	3		828	l	FA	DU	L	listA1	TRUE	1	VER:fin	fa	fare	2	1071079	5664212	1	NA	2	2NT	59	Maschio	Si
5	AAT	4		755	l	MAI	MEA	L	listA1	TRUE	1	ADV	mai	mai	3	801026	840665	0	3	NA	2NT	59	Maschio	Si
5	AAT	5		784	a	TAGLIARE	UHCUIQEN	A	listA1	TRUE	1	VER:infi	tagliare	tagliare	8	17329	77283	1	NA	3	2NT	59	Maschio	Si
5	AAT	6		870	a	I	U	A	listA1	TRUE	1	ART	i	il	1	11400328	50202323	0	4	NA	2NT	59	Maschio	Si
5	AAT	7		671	a	CAPELLI.	ELDUMIB.	A	listA1	TRUE	1	NOUN	capelli	capello	7	55301	62687	1	NA	4	2NT	59	Maschio	Si
5	AAT	0		1455	l	CARLO	ZDEEN	L	listA1	TRUE	2	NPR	Carlo	Carlo	5	147209	156483	1	NA	1	2NT	59	Maschio	Si
5	AAT	1		627	a	NON	EPL	A	listA1	TRUE	2	NEG	non	non	3	12571317	14169963	0	1	NA	2NT	59	Maschio	Si
5	AAT	2		774	a	SI	FE	A	listA1	TRUE	2	CLI	si	si	2	10181611	11340591	0	2	NA	2NT	59	Maschio	Si
5	AAT	3		707	l	FA	AS	L	listA1	TRUE	2	VER:fin	fa	fare	2	1071079	5664212	1	NA	2	2NT	59	Maschio	Si
5	AAT	4		756	l	MAI	SEO	L	listA1	TRUE	2	ADV	mai	mai	3	801026	840665	0	3	NA	2NT	59	Maschio	Si
5	AAT	5		833	a	TAGLIARE	GECRDOAE	A	listA1	TRUE	2	VER:infi	tagliare	tagliare	8	17329	77283	1	NA	3	2NT	59	Maschio	Si
5	AAT	6		630	l	I	U	L	listA1	TRUE	2	ART	i	il	1	11400328	50202323	0	4	NA	2NT	59	Maschio	Si
5	AAT	7		790	l	CAPELLI.	EHBSIPE.	L	listA1	TRUE	2	NOUN	capelli	capello	7	55301	62687	1	NA	4	2NT	59	Maschio	Si
5	AAT	0		1141	l	CARLO	DZFAO	L	listA1	TRUE	3	NPR	Carlo	Carlo	5	147209	156483	1	NA	1	2NT	59	Maschio	Si
5	AAT	1		1038	a	NON	LON	A	listA1	TRUE	3	NEG	non	non	3	12571317	14169963	0	1	NA	2NT	59	Maschio	Si
5	AAT	2		614	l	SI	RA	L	listA1	TRUE	3	CLI	si	si	2	10181611	11340591	0	2	NA	2NT	59	Maschio	Si
5	AAT	3		619	a	FA	IP	A	listA1	TRUE	3	VER:fin	fa	fare	2	1071079	5664212	1	NA	2	2NT	59	Maschio	Si
5	AAT	4		596	a	MAI	IUR	A	listA1	TRUE	3	ADV	mai	mai	3	801026	840665	0	3	NA	2NT	59	Maschio	Si
5	AAT	5		673	l	TAGLIARE	TBEHIESO	L	listA1	TRUE	3	VER:infi	tagliare	tagliare	8	17329	77283	1	NA	3	2NT	59	Maschio	Si
5	AAT	6		784	l	I	U	L	listA1	TRUE	3	ART	i	il	1	11400328	50202323	0	4	NA	2NT	59	Maschio	Si
5	AAT	7		462	a	CAPELLI.	DDBAICE.	A	listA1	TRUE	3	NOUN	capelli	capello	7	55301	62687	1	NA	4	2NT	59	Maschio	Si
6	AAT	0		1705	a	MI	CO	A	listA1	TRUE	1	CLI	Mi	mi	2	335530	2378234	0	1	NA	2NT	59	Maschio	Si
6	AAT	1		856	a	HA	HU	A	listA1	TRUE	1	AUX:fin	ha	avere	2	5671035	15200401	0	2	NA	2NT	59	Maschio	Si
6	AAT	2		964	l	PROMESSO	OFFOOPNG	L	listA1	TRUE	1	VER:ppast	promesso	promettere	8	21210	68113	1	NA	1	2NT	59	Maschio	Si
6	AAT	3		711	a	DI	ZE	A	listA1	TRUE	1	PRE	di	di	2	65521116	66604905	0	3	NA	2NT	59	Maschio	Si
6	AAT	4		742	l	PASSARE	MQEUUHF	L	listA1	TRUE	1	VER:infi	passare	passare	7	128902	589451	1	NA	2	2NT	59	Maschio	Si
6	AAT	5		900	l	OGGI	BEAZ	L	listA1	TRUE	1	ADV	oggi	oggi	4	791794	951476	0	4	NA	2NT	59	Maschio	Si
6	AAT	6		989	a	STESSO.	TUDPMA.	A	listA1	TRUE	1	ADJ	stesso	stesso	6	992009	2103808	1	NA	3	2NT	59	Maschio	Si
6	AAT	0		1522	l	MI	GA	L	listA1	TRUE	2	CLI	Mi	mi	2	335530	2378234	0	1	NA	2NT	59	Maschio	Si
6	AAT	1		637	a	HA	UM	A	listA1	TRUE	2	AUX:fin	ha	avere	2	5671035	15200401	0	2	NA	2NT	59	Maschio	Si
6	AAT	2		889	l	PROMESSO	FPOOVGIS	L	listA1	TRUE	2	VER:ppast	promesso	promettere	8	21210	68113	1	NA	1	2NT	59	Maschio	Si
6	AAT	3		821	l	DI	OV	L	listA1	TRUE	2	PRE	di	di	2	65521116	66604905	0	3	NA	2NT	59	Maschio	Si
6	AAT	4		842	l	PASSARE	OANMLEV	L	listA1	TRUE	2	VER:infi	passare	passare	7	128902	589451	1	NA	2	2NT	59	Maschio	Si
6	AAT	5		635	a	OGGI	OSFU	A	listA1	TRUE	2	ADV	oggi	oggi	4	791794	951476	0	4	NA	2NT	59	Maschio	Si
6	AAT	6		745	a	STESSO.	SDUILS.	A	listA1	TRUE	2	ADJ	stesso	stesso	6	992009	2103808	1	NA	3	2NT	59	Maschio	Si
6	AAT	0		1315	a	MI	AN	A	listA1	TRUE	3	CLI	Mi	mi	2	335530	2378234	0	1	NA	2NT	59	Maschio	Si
6	AAT	1		589	l	HA	IC	L	listA1	TRUE	3	AUX:fin	ha	avere	2	5671035	15200401	0	2	NA	2NT	59	Maschio	Si
6	AAT	2		673	l	PROMESSO	CBNEEDGE	L	listA1	TRUE	3	VER:ppast	promesso	promettere	8	21210	68113	1	NA	1	2NT	59	Maschio	Si
6	AAT	3		660	l	DI	EF	L	listA1	TRUE	3	PRE	di	di	2	65521116	66604905	0	3	NA	2NT	59	Maschio	Si
6	AAT	4		609	a	PASSARE	BGALETU	A	listA1	TRUE	3	VER:infi	passare	passare	7	128902	589451	1	NA	2	2NT	59	Maschio	Si
6	AAT	5		682	l	OGGI	GUHU	L	listA1	TRUE	3	ADV	oggi	oggi	4	791794	951476	0	4	NA	2NT	59	Maschio	Si
6	AAT	6		619	a	STESSO.	ASICLB.	A	listA1	TRUE	3	ADJ	stesso	stesso	6	992009	2103808	1	NA	3	2NT	59	Maschio	Si
7	AAT	0		1746	a	LUI	ITO	A	listA1	TRUE	1	PRO:pers	Lui	lui	3	62950	660247	0	1	NA	2NT	59	Maschio	Si
7	AAT	1		721	l	NON	VVA	L	listA1	TRUE	1	NEG	non	non	3	12571317	14169963	0	2	NA	2NT	59	Maschio	Si
7	AAT	2		656	l	È	U	L	listA1	TRUE	1	VER:fin	è	essere	1	14929934	39239663	1	NA	1	2NT	59	Maschio	Si
7	AAT	3		796	l	AFFATTO	TOUSGOM	L	listA1	TRUE	1	ADV	affatto	affatto	7	68219	68771	0	3	NA	2NT	59	Maschio	Si
7	AAT	4		699	a	FACILE	EEUSDZ	A	listA1	TRUE	1	ADJ	facile	facile	6	156815	187406	1	NA	2	2NT	59	Maschio	Si
7	AAT	5		794	a	DA	EM	A	listA1	TRUE	1	PRE	da	da	2	9235795	9726496	0	4	NA	2NT	59	Maschio	Si
7	AAT	6		996	l	ACCONTENTARE.	QGDIOEMOZZPA.	L	listA1	TRUE	1	VER:infi	accontentare	accontentare	12	6295	31491	1	NA	3	2NT	59	Maschio	Si
7	AAT	0		1057	l	LUI	LEE	L	listA1	TRUE	2	PRO:pers	Lui	lui	3	62950	660247	0	1	NA	2NT	59	Maschio	Si
7	AAT	1		629	a	NON	COT	A	listA1	TRUE	2	NEG	non	non	3	12571317	14169963	0	2	NA	2NT	59	Maschio	Si
7	AAT	2		751	l	È	U	L	listA1	TRUE	2	VER:fin	è	essere	1	14929934	39239663	1	NA	1	2NT	59	Maschio	Si
7	AAT	3		810	a	AFFATTO	UAQEBHF	A	listA1	TRUE	2	ADV	affatto	affatto	7	68219	68771	0	3	NA	2NT	59	Maschio	Si
7	AAT	4		709	l	FACILE	EBLZIU	L	listA1	TRUE	2	ADJ	facile	facile	6	156815	187406	1	NA	2	2NT	59	Maschio	Si
7	AAT	5		597	a	DA	IZ	A	listA1	TRUE	2	PRE	da	da	2	9235795	9726496	0	4	NA	2NT	59	Maschio	Si
7	AAT	6		1043	l	ACCONTENTARE.	ESTRGIRTTEAA.	L	listA1	TRUE	2	VER:infi	accontentare	accontentare	12	6295	31491	1	NA	3	2NT	59	Maschio	Si
7	AAT	0		1406	l	LUI	UTI	L	listA1	TRUE	3	PRO:pers	Lui	lui	3	62950	660247	0	1	NA	2NT	59	Maschio	Si
7	AAT	1		661	l	NON	AVL	L	listA1	TRUE	3	NEG	non	non	3	12571317	14169963	0	2	NA	2NT	59	Maschio	Si
7	AAT	2		577	a	È	B	A	listA1	TRUE	3	VER:fin	è	essere	1	14929934	39239663	1	NA	1	2NT	59	Maschio	Si
7	AAT	3		656	a	AFFATTO	DEASRLA	A	listA1	TRUE	3	ADV	affatto	affatto	7	68219	68771	0	3	NA	2NT	59	Maschio	Si
7	AAT	4		524	l	FACILE	LGREIA	L	listA1	TRUE	3	ADJ	facile	facile	6	156815	187406	1	NA	2	2NT	59	Maschio	Si
7	AAT	5		638	a	DA	OT	A	listA1	TRUE	3	PRE	da	da	2	9235795	9726496	0	4	NA	2NT	59	Maschio	Si
7	AAT	6		695	l	ACCONTENTARE.	OEBPLURBAGSI.	L	listA1	TRUE	3	VER:infi	accontentare	accontentare	12	6295	31491	1	NA	3	2NT	59	Maschio	Si
8	AAT	0		1769	a	HA	IP	A	listA1	TRUE	1	AUX:fin	Ha	avere	2	174990	15200401	0	1	NA	2NT	59	Maschio	Si
8	AAT	1		762	l	INCONTRATO	RIEZISAHHG	L	listA1	TRUE	1	VER:ppast	incontrato	incontrare	10	35794	207700	1	NA	1	2NT	59	Maschio	Si
8	AAT	2		902	a	AL	UG	A	listA1	TRUE	1	ARTPRE	al	al	2	8485938	13869519	0	2	NA	2NT	59	Maschio	Si
8	AAT	3		667	a	SUPERMERCATO	AZALLVGDLEOI	A	listA1	TRUE	1	NOUN	supermercato	supermercato	12	10994	22049	1	NA	2	2NT	59	Maschio	Si
8	AAT	4		883	l	LA	NU	L	listA1	TRUE	1	ART	la	la	2	25477273	42872777	0	3	NA	2NT	59	Maschio	Si
8	AAT	5		842	l	SUA	MAE	L	listA1	TRUE	1	DET:poss	sua	suo	3	1743421	4566606	0	4	NA	2NT	59	Maschio	Si
8	AAT	6		757	a	VICINA	OOGTGO	A	listA1	TRUE	1	ADJ	vicina	vicino	6	44576	294447	1	NA	3	2NT	59	Maschio	Si
8	AAT	7		759	l	CON	NUM	L	listA1	TRUE	1	PRE	con	con	3	10987094	11520484	0	5	NA	2NT	59	Maschio	Si
8	AAT	8		1125	a	UN	TA	A	listA1	TRUE	1	ART	un	un	2	15479509	17142532	0	6	NA	2NT	59	Maschio	Si
8	AAT	9		764	l	CAPPOTTO	EMIZZFHO	L	listA1	TRUE	1	NOUN	cappotto	cappotto	8	3820	5311	1	NA	4	2NT	59	Maschio	Si
8	AAT	10		712	a	NUOVO.	UAEBQ.	A	listA1	TRUE	1	ADJ	nuovo	nuovo	5	740211	2231505	1	NA	5	2NT	59	Maschio	Si
8	AAT	0		1048	a	HA	MU	A	listA1	TRUE	2	AUX:fin	Ha	avere	2	174990	15200401	0	1	NA	2NT	59	Maschio	Si
8	AAT	1		748	l	INCONTRATO	HMSOACVHIU	L	listA1	TRUE	2	VER:ppast	incontrato	incontrare	10	35794	207700	1	NA	1	2NT	59	Maschio	Si
8	AAT	2		1052	l	AL	QO	L	listA1	TRUE	2	ARTPRE	al	al	2	8485938	13869519	0	2	NA	2NT	59	Maschio	Si
8	AAT	3		633	a	SUPERMERCATO	BSOHTIDAUZAR	A	listA1	TRUE	2	NOUN	supermercato	supermercato	12	10994	22049	1	NA	2	2NT	59	Maschio	Si
8	AAT	4		618	l	LA	UL	L	listA1	TRUE	2	ART	la	la	2	25477273	42872777	0	3	NA	2NT	59	Maschio	Si
8	AAT	5		820	l	SUA	ZOI	L	listA1	TRUE	2	DET:poss	sua	suo	3	1743421	4566606	0	4	NA	2NT	59	Maschio	Si
8	AAT	6		623	a	VICINA	OAHSUC	A	listA1	TRUE	2	ADJ	vicina	vicino	6	44576	294447	1	NA	3	2NT	59	Maschio	Si
8	AAT	7		737	l	CON	GTO	L	listA1	TRUE	2	PRE	con	con	3	10987094	11520484	0	5	NA	2NT	59	Maschio	Si
8	AAT	8		653	a	UN	IB	A	listA1	TRUE	2	ART	un	un	2	15479509	17142532	0	6	NA	2NT	59	Maschio	Si
8	AAT	9		518	l	CAPPOTTO	ZHAPABUR	L	listA1	TRUE	2	NOUN	cappotto	cappotto	8	3820	5311	1	NA	4	2NT	59	Maschio	Si
8	AAT	10		596	a	NUOVO.	IGIDE.	A	listA1	TRUE	2	ADJ	nuovo	nuovo	5	740211	2231505	1	NA	5	2NT	59	Maschio	Si
8	AAT	0		1494	l	HA	OC	L	listA1	TRUE	3	AUX:fin	Ha	avere	2	174990	15200401	0	1	NA	2NT	59	Maschio	Si
8	AAT	1		722	l	INCONTRATO	VNUIASVFSO	L	listA1	TRUE	3	VER:ppast	incontrato	incontrare	10	35794	207700	1	NA	1	2NT	59	Maschio	Si
